,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,otherBatsman,otherBatsman_id,otherBowler,otherBowler_id,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,William Porterfield,24611,Aftab Alam,440963,"Aftab Alam to Porterfield, no run outside off-stump, lets the ball go through to the keeper",1st innings,,,,,0.1,no run,0,0,0/0,"Aftab Alam to Porterfield, no run",,"outside off-stump, lets the ball go through to the keeper",0
1,2,William Porterfield,24611,Aftab Alam,440963,"Aftab Alam to Porterfield, no run outside off-stump, Portefield gets his bat out of the way and lets the ball go through to the keeper",1st innings,,,,,0.2,no run,0,0,0/0,"Aftab Alam to Porterfield, no run",,"outside off-stump, Portefield gets his bat out of the way and lets the ball go through to the keeper",0
2,3,William Porterfield,24611,Aftab Alam,440963,"Aftab Alam to Porterfield, no run outside off-stump, plays inside the line and they all go up for the catch behind. Alam is almost down at the other end but the Umpire isn't interested. ",1st innings,,,,,0.3,no run,0,0,0/0,"Aftab Alam to Porterfield, no run",,"outside off-stump, plays inside the line and they all go up for the catch behind. Alam is almost down at the other end but the Umpire isn't interested. ",0
3,4,William Porterfield,24611,Aftab Alam,440963,"Aftab Alam to Porterfield, no run onto the front foot, hits the ball in the air towards the covers. Lands safe",1st innings,,,,,0.4,no run,0,0,0/0,"Aftab Alam to Porterfield, no run",,"onto the front foot, hits the ball in the air towards the covers. Lands safe",0
4,5,William Porterfield,24611,Aftab Alam,440963,"Aftab Alam to Porterfield, 1 run gets square on, thick edge down to third man to get off the mark",1st innings,,,,,0.5,run,1,1,1/0,"Aftab Alam to Porterfield, 1 run",,"gets square on, thick edge down to third man to get off the mark",0
5,6,Paul Stirling,303427,Aftab Alam,440963,"Aftab Alam to Stirling, 2 runs thick edge down towards wide third man, they turn quickly for the second and come back to end the over",1st innings,William Porterfield,24611,,,1.0,run,3,2,3/0,"Aftab Alam to Stirling, 2 runs",,"thick edge down towards wide third man, they turn quickly for the second and come back to end the over",0
6,7,William Porterfield,24611,Mujeeb Ur Rahman,974109,"Mujeeb Ur Rahman to Porterfield, no run clips the pad and rolls down behind the wicket",1st innings,Paul Stirling,303427,Aftab Alam,440963,1.1,no run,3,0,3/0,"Mujeeb Ur Rahman to Porterfield, no run",,clips the pad and rolls down behind the wicket,0
7,8,William Porterfield,24611,Mujeeb Ur Rahman,974109,"Mujeeb Ur Rahman to Porterfield, no run steps forward and defends the ball out into the covers",1st innings,Paul Stirling,303427,Aftab Alam,440963,1.2,no run,3,0,3/0,"Mujeeb Ur Rahman to Porterfield, no run",,steps forward and defends the ball out into the covers,0
8,9,William Porterfield,24611,Mujeeb Ur Rahman,974109,"Mujeeb Ur Rahman to Porterfield, no run hits the ball hard back down the ground, Mujeeb dives to his right and stops the ball",1st innings,Paul Stirling,303427,Aftab Alam,440963,1.3,no run,3,0,3/0,"Mujeeb Ur Rahman to Porterfield, no run",,"hits the ball hard back down the ground, Mujeeb dives to his right and stops the ball",0
9,10,William Porterfield,24611,Mujeeb Ur Rahman,974109,"Mujeeb Ur Rahman to Porterfield, FOUR runs Porterfield is onto the front foot quickly and drives the ball to the right of mid-off, brings up the first boundary of the day",1st innings,Paul Stirling,303427,Aftab Alam,440963,1.4,four,7,4,7/0,"Mujeeb Ur Rahman to Porterfield, FOUR runs",,"Porterfield is onto the front foot quickly and drives the ball to the right of mid-off, brings up the first boundary of the day",0
10,11,William Porterfield,24611,Mujeeb Ur Rahman,974109,"Mujeeb Ur Rahman to Porterfield, no run clips the ball to mid-wicket, diving stop by Afghan",1st innings,Paul Stirling,303427,Aftab Alam,440963,1.5,no run,7,0,7/0,"Mujeeb Ur Rahman to Porterfield, no run",,"clips the ball to mid-wicket, diving stop by Afghan",0
