,ball,batsman,batsman_id,bowler,bowler_id,commentary,innings,overs,playType,runs,runs_scored,score,shortText,speed,text,wickets
0,1,KL Rahul,422108,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Rahul, no run good length ball on middle stump at 123 kph, defended on the back foot to short midwicket.",1st innings,0.1,no run,0,0,0/0,"Mashrafe Mortaza to Rahul, no run",,"good length ball on middle stump at 123 kph, defended on the back foot to short midwicket.",0
1,2,KL Rahul,422108,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Rahul, 1 run short of a length on off stump, goes back to flick behind square with ease.",1st innings,0.2,run,1,1,1/0,"Mashrafe Mortaza to Rahul, 1 run",,"short of a length on off stump, goes back to flick behind square with ease.",0
2,2,Rohit Sharma,34102,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Sharma, 1 wide short of a length angled down leg, Rohit is late on the pull but wide called.",1st innings,0.2,wide,2,1,2/0,"Mashrafe Mortaza to Sharma, 1 wide",,"short of a length angled down leg, Rohit is late on the pull but wide called.",0
3,3,Rohit Sharma,34102,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Sharma, no run short of a length on fifth stump, Rohit goes back and punches but straight to cover point.",1st innings,0.3,no run,2,0,2/0,"Mashrafe Mortaza to Sharma, no run",,"short of a length on fifth stump, Rohit goes back and punches but straight to cover point.",0
4,4,Rohit Sharma,34102,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Sharma, SIX runs <b>hammered!</b> A fraction short on off stump at just 130 kph, sits up for Rohit to lace a blistering pull over square leg. Flat, didn't go more than 15 meters in the air but clears that short boundary landing at 62 meters over the rope. It took India until the 50th over to hit their first six v England, but they've done it on the fourth legal ball today!",1st innings,0.4,six,8,6,8/0,"Mashrafe Mortaza to Sharma, SIX runs",,"<b>hammered!</b> A fraction short on off stump at just 130 kph, sits up for Rohit to lace a blistering pull over square leg. Flat, didn't go more than 15 meters in the air but clears that short boundary landing at 62 meters over the rope. It took India until the 50th over to hit their first six v England, but they've done it on the fourth legal ball today!",0
5,5,Rohit Sharma,34102,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Sharma, no run good length ball on fifth stump, goes back and across to defend firmly back toward extra cover.",1st innings,0.5,no run,8,0,8/0,"Mashrafe Mortaza to Sharma, no run",,"good length ball on fifth stump, goes back and across to defend firmly back toward extra cover.",0
6,6,Rohit Sharma,34102,Mashrafe Mortaza,56007,"Mashrafe Mortaza to Sharma, 2 runs fullish length on fourth stump, Rohit uses his feet to step down and flick through midwicket for an easy pair.",1st innings,0.6,run,10,2,10/0,"Mashrafe Mortaza to Sharma, 2 runs",,"fullish length on fourth stump, Rohit uses his feet to step down and flick through midwicket for an easy pair.",0
7,7,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run good length ball at 128 kph/79 mph pitching on fourth stump, Rahul goes back to defend. No sign of any real swing from either bowler as yet.",1st innings,1.1,no run,10,0,10/0,"Mohammad Saifuddin to Rahul, no run",,"good length ball at 128 kph/79 mph pitching on fourth stump, Rahul goes back to defend. No sign of any real swing from either bowler as yet.",0
8,8,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run good length ball on off stump, goes back to defend to point.",1st innings,1.2,no run,10,0,10/0,"Mohammad Saifuddin to Rahul, no run",,"good length ball on off stump, goes back to defend to point.",0
9,9,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run fullish length on fifth stump and finally a hint of swing moving away, Rahul shoulders arms.",1st innings,1.3,no run,10,0,10/0,"Mohammad Saifuddin to Rahul, no run",,"fullish length on fifth stump and finally a hint of swing moving away, Rahul shoulders arms.",0
10,10,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run overpitched on fourth stump at 122 kph/75 mph, driven firmly but straight to mid-off.",1st innings,1.4,no run,10,0,10/0,"Mohammad Saifuddin to Rahul, no run",,"overpitched on fourth stump at 122 kph/75 mph, driven firmly but straight to mid-off.",0
11,11,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run short of a length on off stump, Rahul shuffles across and back to punch back down the pitch as Saifuddin fields moving to his right.",1st innings,1.5,no run,10,0,10/0,"Mohammad Saifuddin to Rahul, no run",,"short of a length on off stump, Rahul shuffles across and back to punch back down the pitch as Saifuddin fields moving to his right.",0
12,12,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, 1 run overpitched and angled into leg stump at 126 kph/78 mph, Rahul flicks off his pads through square leg to deny a maiden.",1st innings,1.6,run,11,1,11/0,"Mohammad Saifuddin to Rahul, 1 run",,"overpitched and angled into leg stump at 126 kph/78 mph, Rahul flicks off his pads through square leg to deny a maiden.",0
13,13,KL Rahul,422108,Mustafizur Rahman,330902,"Mustafizur Rahman to Rahul, 1 run short of a length pitching on middle and angled across, Rahul goes back and dangles the bat with a slightly open face to chop this down to third man.",1st innings,2.1,run,12,1,12/0,"Mustafizur Rahman to Rahul, 1 run",,"short of a length pitching on middle and angled across, Rahul goes back and dangles the bat with a slightly open face to chop this down to third man.",0
14,14,Rohit Sharma,34102,Mustafizur Rahman,330902,"Mustafizur Rahman to Sharma, no run good length ball angled across fourth stump, Rohit tries to tap and run gently pushing into short midwicket but Mustafizur hustles to field in his follow-through to deny it.",1st innings,2.2,no run,12,0,12/0,"Mustafizur Rahman to Sharma, no run",,"good length ball angled across fourth stump, Rohit tries to tap and run gently pushing into short midwicket but Mustafizur hustles to field in his follow-through to deny it.",0
15,15,Rohit Sharma,34102,Mustafizur Rahman,330902,"Mustafizur Rahman to Sharma, no run good length ball angled across fifth stump, left alone comfortably.",1st innings,2.3,no run,12,0,12/0,"Mustafizur Rahman to Sharma, no run",,"good length ball angled across fifth stump, left alone comfortably.",0
16,16,Rohit Sharma,34102,Mustafizur Rahman,330902,"Mustafizur Rahman to Sharma, no run good length ball pitching on off stump at 129 kph/80 mph and continuing on with the angle, defended back down the pitch.",1st innings,2.4,no run,12,0,12/0,"Mustafizur Rahman to Sharma, no run",,"good length ball pitching on off stump at 129 kph/80 mph and continuing on with the angle, defended back down the pitch.",0
17,17,Rohit Sharma,34102,Mustafizur Rahman,330902,"Mustafizur Rahman to Sharma, 1 run short of a length on the hips, Rohit paddle/short-arm jab pulls this behind square, short fine leg shuffles left to field off one bounce.",1st innings,2.5,run,13,1,13/0,"Mustafizur Rahman to Sharma, 1 run",,"short of a length on the hips, Rohit paddle/short-arm jab pulls this behind square, short fine leg shuffles left to field off one bounce.",0
18,18,KL Rahul,422108,Mustafizur Rahman,330902,"Mustafizur Rahman to Rahul, 1 run short of a length on fifth stump line, tapped behind point for a simple single to third man.",1st innings,2.6,run,14,1,14/0,"Mustafizur Rahman to Rahul, 1 run",,"short of a length on fifth stump line, tapped behind point for a simple single to third man.",0
19,19,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run good length ball on fifth stump, left alone.",1st innings,3.1,no run,14,0,14/0,"Mohammad Saifuddin to Rahul, no run",,"good length ball on fifth stump, left alone.",0
20,20,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run good length and tighter on a fourth stump line at 129 kph/80 mph, tentative poke by Rahul moving back with a touch of swing too.",1st innings,3.2,no run,14,0,14/0,"Mohammad Saifuddin to Rahul, no run",,"good length and tighter on a fourth stump line at 129 kph/80 mph, tentative poke by Rahul moving back with a touch of swing too.",0
21,21,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run good length again on fifth stump, Rahul moves across to cover the line and slaps back down the pitch.",1st innings,3.3,no run,14,0,14/0,"Mohammad Saifuddin to Rahul, no run",,"good length again on fifth stump, Rahul moves across to cover the line and slaps back down the pitch.",0
22,22,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, no run fullish length but very wide outside off, goes to drive through cover but miscues to extra cover.",1st innings,3.4,no run,14,0,14/0,"Mohammad Saifuddin to Rahul, no run",,"fullish length but very wide outside off, goes to drive through cover but miscues to extra cover.",0
23,23,KL Rahul,422108,Mohammad Saifuddin,629070,"Mohammad Saifuddin to Rahul, FOUR runs <b>shocking misfield by Shakib.</b> Good length but straying on the legs, flicked off his thigh through midwicket, Shakib at deep square takes a horrendous angle trying to cut two into a single and instead turned it into a boundary diving over the top of the ball in the end.",1st innings,3.5,four,18,4,18/0,"Mohammad Saifuddin to Rahul, FOUR runs",,"<b>shocking misfield by Shakib.</b> Good length but straying on the legs, flicked off his thigh through midwicket, Shakib at deep square takes a horrendous angle trying to cut two into a single and instead turned it into a boundary diving over the top of the ball in the end.",0
